Date,Capital
2008-03-17,9914.143979700964
2008-03-18,9914.143979700964
2008-03-19,9914.143979700964
2008-03-20,9914.143979700964
2008-03-24,9914.143979700964
2008-03-25,9914.143979700964
2008-03-26,9914.143979700964
2008-03-27,9914.143979700964
2008-03-28,9914.143979700964
2008-03-31,9914.143979700964
2008-04-01,9914.143979700964
2008-04-02,9914.143979700964
2008-04-03,9914.143979700964
2008-04-04,9914.143979700964
2008-04-07,9914.143979700964
2008-04-08,9914.143979700964
2008-04-09,9914.143979700964
2008-04-10,9914.143979700964
2008-04-11,9914.143979700964
2008-04-14,9914.143979700964
2008-04-15,9914.143979700964
2008-04-16,9914.143979700964
2008-04-17,9914.143979700964
2008-04-18,9914.143979700964
2008-04-21,9914.143979700964
2008-04-22,9914.143979700964
2008-04-23,9914.143979700964
2008-04-24,9914.143979700964
2008-04-25,9914.143979700964
2008-04-28,9914.143979700964
2008-04-29,9914.143979700964
2008-04-30,9914.143979700964
2008-05-01,9914.143979700964
2008-05-02,9914.143979700964
2008-05-05,9914.143979700964
2008-05-06,9914.143979700964
2008-05-07,9914.143979700964
2008-05-08,9914.143979700964
2008-05-09,9914.143979700964
2008-05-12,9914.143979700964
2008-05-13,9914.143979700964
2008-05-14,9914.143979700964
2008-05-15,9914.143979700964
2008-05-16,9914.143979700964
2008-05-19,9914.143979700964
2008-05-20,9914.143979700964
2008-05-21,9914.143979700964
2008-05-22,9914.143979700964
2008-05-23,9914.143979700964
2008-05-27,9914.143979700964
2008-05-28,9914.143979700964
2008-05-29,9914.143979700964
2008-05-30,9914.143979700964
2008-06-02,9914.143979700964
2008-06-03,9914.143979700964
2008-06-04,9914.143979700964
2008-06-05,9914.143979700964
2008-06-06,9914.143979700964
2008-06-09,9914.143979700964
2008-06-10,9914.143979700964
2008-06-11,9914.143979700964
2008-06-12,9914.143979700964
2008-06-13,9914.143979700964
2008-06-16,9914.143979700964
2008-06-17,9914.143979700964
2008-06-18,9914.143979700964
2008-06-19,9914.143979700964
2008-06-20,9914.143979700964
2008-06-23,9914.143979700964
2008-06-24,9914.143979700964
2008-06-25,9914.143979700964
2008-06-26,9914.143979700964
2008-06-27,9914.143979700964
2008-06-30,9914.143979700964
2008-07-01,9914.143979700964
2008-07-02,9914.143979700964
2008-07-03,9914.143979700964
2008-07-07,9914.143979700964
2008-07-08,9914.143979700964
2008-07-09,9914.143979700964
2008-07-10,9914.143979700964
2008-07-11,9914.143979700964
2008-07-14,9914.143979700964
2008-07-15,9914.143979700964
2008-07-16,9914.143979700964
2008-07-17,9914.143979700964
2008-07-18,9914.143979700964
2008-07-21,9914.143979700964
2008-07-22,9914.143979700964
2008-07-23,9914.143979700964
2008-07-24,9914.143979700964
2008-07-25,9914.143979700964
2008-07-28,9914.143979700964
2008-07-29,9914.143979700964
2008-07-30,9914.143979700964
2008-07-31,9914.143979700964
2008-08-01,9914.143979700964
2008-08-04,9914.143979700964
2008-08-05,9914.143979700964
2008-08-06,9914.143979700964
2008-08-07,9914.143979700964
2008-08-08,9914.143979700964
2008-08-11,9914.143979700964
2008-08-12,9914.143979700964
2008-08-13,9914.143979700964
2008-08-14,9914.143979700964
2008-08-15,9914.143979700964
2008-08-18,9914.143979700964
2008-08-19,9914.143979700964
2008-08-20,9914.143979700964
2008-08-21,9914.143979700964
2008-08-22,9914.143979700964
2008-08-25,9914.143979700964
2008-08-26,9914.143979700964
2008-08-27,9914.143979700964
2008-08-28,9914.143979700964
2008-08-29,9914.143979700964
2008-09-02,9914.143979700964
2008-09-03,9914.143979700964
2008-09-04,9914.143979700964
2008-09-05,9914.143979700964
2008-09-08,9914.143979700964
2008-09-09,9914.143979700964
2008-09-10,9914.143979700964
